MSA,"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration
"New Orleans-Metairie, LA",87.21828156723832,2.1549094993304245,1.0232839431508922,2.3242472677005486,1.4561320143418721,5.823145708237937,"54,388","486,509",0.5760000000000001,0.066,"1,271,651","559,877","48,996","193,236","170,717","73,560","9,348","46,473","34,064","16,689","59,808","38,222","9,508","32,811","67,461","138,029","73,374","32,183","29,322"
"New York-Newark-Jersey City, NY-NJ-PA",54.741959048691335,29.835681831489342,0.7012328778074433,5.654501664442297,1.6995417517145148,7.367082825855064,"81,951","7,065,536",0.609,0.059000000000000004,"19,261,570","7,756,312","2,161,785","2,266,754","1,746,547","890,450","17,450","542,548","514,265","251,531","919,812","591,148","307,618","873,935","1,323,640","2,505,103","811,883","444,125","389,916"
"Niles, MI",90.22364400579552,0.6340644680026969,0.2811688591143181,2.719878351432383,1.0400378717238807,5.1012064439312,"52,500","63,136",0.574,0.062,"153,797","77,645","5,307","22,086","24,100","11,643","1,094","3,984","14,147","1,121","7,502","4,700",926,"3,139","5,463","16,410","6,830","3,738","2,164"
"North Port-Sarasota-Bradenton, FL",87.43003291335611,0.6316129940372619,0.597172266529303,0.8709011790708191,1.2314806218497965,9.238800025156706,"62,438","339,573",0.483,0.048,"821,613","439,870","15,431","143,818","133,653","46,671","2,347","30,671","21,062","7,606","45,879","13,707","5,248","23,837","43,407","72,050","41,562","20,663","12,142"
"Norwich-New London, CT",87.31926979478614,1.5120633962930534,0.23766251922270376,2.7092055596841957,1.0234940069312102,7.198304723082696,"75,831","109,616",0.597,0.053,"266,868","123,849","6,768","35,285","41,344","26,219",822,"7,739","18,304","2,187","13,844","5,268","1,774","5,913","11,865","32,885","18,868","5,738","6,865"
"Ocala, FL",90.39746530521438,0.40045722702549275,0.1772138303503617,0.6958136109427623,1.2458669285237551,7.083183097943245,"46,587","145,863",0.439,0.069,"360,210","170,926","6,971","63,158","53,174","22,560","3,022","11,009","8,197","3,396","20,533","5,667","1,393","7,360","14,657","29,705","12,828","6,995","7,478"
"Ocean City, NJ",87.03556167161585,1.378527799908259,1.4823398759083557,4.140411868375945,1.2554018493034935,4.7077569348881,"72,385","40,670",0.527,0.067,"92,701","99,394","3,120","14,563","15,619","7,368",367,"3,866","1,261","1,144","4,611","1,549",517,"2,823","3,249","10,159","6,637","1,732","3,398"
"Odessa, TX",93.94465530700693,0.2987967374626504,0.06729656249158793,1.7147164122856602,0.8560122748929984,3.1185227058601845,"63,096","53,602",0.638,0.066,"162,067","59,155","2,596","17,861","20,900","12,245","11,440","6,050","4,711","2,934","10,119","6,537",893,"3,404","4,798","12,305","6,122","3,951","2,079"
"Ogden-Clearfield, UT",87.95881149501189,1.5283687833838882,0.31042580175331946,1.2592919452835951,0.8960999287193239,8.047002045847977,"78,680","213,554",0.6659999999999999,0.028999999999999998,"672,948","226,538","7,133","45,718","87,430","73,273","3,537","22,600","42,503","7,467","37,469","16,777","4,858","21,780","35,035","67,489","24,268","15,035","27,077"
"Oklahoma City, OK",91.23942692037068,0.3955267452131084,0.3133374253334731,1.5846520053295807,1.024147791068461,5.442909112684701,"60,476","523,154",0.615,0.045,"1,397,040","578,343","25,719","171,160","207,745","118,530","22,630","47,307","46,659","18,543","79,919","33,041","10,588","42,006","69,143","150,425","64,859","36,256","49,830"
"Olympia-Lacey-Tumwater, WA",86.33962662803157,1.847995049878511,0.5749988681124644,1.9264725856838865,1.2752599568373553,8.035646911456212,"75,867","112,323",0.569,0.061,"284,698","118,035","5,370","31,846","42,594","32,513","3,034","9,378","6,794","2,376","15,688","5,750","1,539","6,927","11,593","28,658","11,425","5,776","22,389"
"Omaha-Council Bluffs, NE-IA",89.9298863903665,0.8107015075045085,0.1797202883778129,1.6507029931372024,0.9662802646076898,6.462708556006288,"69,439","364,079",0.6709999999999999,0.038,"940,163","390,062","21,298","113,981","146,758","82,042","6,171","35,011","39,068","12,843","54,499","29,776","10,089","49,170","55,994","118,224","38,630","20,170","17,528"
"Orlando-Kissimmee-Sanford, FL",87.52123303881032,1.4232092965775938,0.38584964868054283,1.0922848647910781,1.7950853239012736,7.782337827239193,"61,229","893,257",0.61,0.054000000000000006,"2,560,260","1,054,209","43,212","318,367","361,894","169,784","6,372","91,519","57,016","31,841","150,245","72,452","26,733","87,624","174,803","244,977","214,472","59,837","42,131"
"Oshkosh-Neenah, WI",89.97892470162418,0.546354202460312,0.6620392641971915,2.3423361510090945,0.7502348063134263,5.720110874395804,"59,947","71,132",0.633,0.03,"170,924","76,023","4,292","23,495","29,496","13,849",631,"4,041","20,955","2,579","10,477","3,501","1,229","5,019","7,635","18,679","7,264","3,441","3,187"
"Owensboro, KY",93.74092443472193,0.4450562920776209,0.2621306127067343,1.7764535048183,0.9598883587606313,2.8155467969147794,"54,946","47,340",0.579,0.045,"118,951","51,385","3,039","13,816","18,247","12,238","1,385","3,061","9,597","1,436","5,857","2,954",471,"3,317","4,033","13,186","4,037","2,552","1,884"
"Oxnard-Thousand Oaks-Ventura, CA",87.89777240032957,0.9892195359724067,0.42483490326778955,1.6322864629339586,0.8031532300566364,8.252733467439635,"89,295","271,639",0.61,0.051,"845,599","289,425","11,671","69,504","104,680","85,784","21,092","25,178","39,322","11,989","41,209","14,613","10,019","29,977","52,279","81,509","39,851","22,078","22,179"
"Palm Bay-Melbourne-Titusville, FL",88.78172884581772,0.5907828552562584,0.5868986813229496,1.006001048726962,1.3963605290244898,7.638228039851624,"59,359","236,005",0.522,0.051,"594,001","280,648","10,880","90,278","92,903","41,944","1,409","16,958","30,017","4,210","32,296","11,955","3,448","14,255","35,539","54,565","28,708","12,521","14,787"
"Panama City, FL",91.4581351094196,0.7588011417697431,0.3496669838249286,0.9372026641294006,1.439105613701237,5.057088487155091,"56,483","73,536",0.563,0.044000000000000004,"180,076","104,060","3,993","25,500","29,610","14,433",822,"6,230","5,240","1,612","10,982","3,942","1,168","5,187","9,691","15,225","11,190","4,468","6,623"
"Parkersburg-Vienna, WV",92.04738188181452,0.7861084937407458,0.20191142818683536,2.3556333288464124,0.5922735226813838,4.016691344730112,"48,369","37,746",0.513,0.05,"90,151","43,618","3,382","12,929","14,603","6,832",593,"2,169","3,897",798,"5,725","1,890",418,"1,707","2,636","10,279","3,626","1,434","2,556"
"Pensacola-Ferry Pass-Brent, FL",86.0646670824248,0.5940485890776998,0.5348713349933312,2.505929105649607,1.5499888473636532,8.750495040490899,"58,759","187,866",0.528,0.061,"496,278","215,479","9,700","63,952","77,492","36,722","1,683","14,563","9,935","3,748","28,521","10,727","2,734","19,033","24,385","49,489","25,497","10,139","11,982"
"Peoria, IL",91.2202859646593,0.8180719015873368,0.2800856341027831,2.1147851937305187,0.7321050237934132,4.834666282126654,"60,094","163,466",0.5710000000000001,0.057999999999999996,"403,747","183,156","11,824","53,963","63,390","34,289","3,221","10,616","26,553","4,178","20,207","8,663","2,664","11,190","15,865","49,921","15,159","9,170","6,271"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",77.92132104605362,8.753012486279975,0.6258868336803154,3.3772994254924407,1.1720157148196568,8.15046449367399,"74,825","2,311,452",0.613,0.061,"6,092,403","2,497,830","286,967","804,720","814,630","405,135","15,517","167,440","259,991","80,141","310,348","161,064","58,801","252,511","390,823","816,573","237,007","132,499","132,349"
"Phoenix-Mesa-Chandler, AZ",84.71853499231457,1.6538899919923225,0.6477213434181217,1.4750636332254166,1.7921482382668101,9.712641800782757,"67,068","1,745,219",0.598,0.052000000000000005,"4,860,338","1,943,813","94,909","611,584","673,361","365,365","15,573","165,354","172,249","56,824","275,428","129,676","44,311","230,152","305,122","478,735","225,128","106,031","91,892"
"Pine Bluff, AR",94.65602163345459,0.4152850658339503,0.057946753372179124,1.3134597431027268,1.0301645043942955,2.527122299842256,"41,856","33,398",0.43700000000000006,0.07400000000000001,"89,464","42,188","2,781","12,061","11,405","7,151",738,"1,344","5,246",659,"3,468","1,797",312,"1,762","1,430","8,058","1,696","2,031","3,215"
"Pittsburgh, PA",82.80695233372471,5.344168352665434,0.2844104494636366,3.1382037485103464,0.8959501678365165,7.530314947799364,"61,969","1,017,860",0.598,0.05,"2,324,447","1,129,809","107,398","363,309","372,770","174,383","12,781","70,128","114,894","29,776","129,675","67,445","18,078","87,613","135,307","305,879","94,274","55,276","35,768"
"Pittsfield, MA",84.81167654405643,1.0628397903707696,0.3852998318394802,6.17459306786828,0.5665213629165238,6.999069402948524,"62,166","54,786",0.585,0.051,"125,927","69,149","4,980","21,116","20,299","8,391",596,"3,916","4,851",844,"7,111","2,437",876,"3,212","6,165","20,667","6,391","3,428","2,311"
"Pocatello, ID",87.64050645758799,0.8677780315140443,0.9109131968232219,2.839308822409987,0.9388241861409251,6.802669305523838,"51,914","34,362",0.557,0.055,"94,377","37,581","1,659","10,087","12,210","10,406","1,530","2,280","3,154","1,128","5,023","2,107",492,"2,862","2,904","11,325","3,359","1,876","2,190"
"Ponce, PR",93.48109738532187,0.37110467185196483,0.4456645145984783,2.3537186721569823,1.12348126683951,2.2249334892311863,"17,827","81,660",0.331,0.163,"220,601","101,425","13,701","35,435","22,733","9,791","1,571","3,257","6,686","1,183","7,735","1,906",831,"2,304","4,707","16,408","5,699","2,978","5,295"
"Portland-South Portland, ME",84.47097851018277,0.9282296318658629,0.5257076232810401,3.867681299729685,0.8813843981081466,9.3260185368325,"72,552","226,327",0.654,0.034,"536,314","275,836","13,725","73,067","94,899","44,636","3,018","19,343","27,082","6,142","37,233","10,374","6,014","24,220","31,708","79,158","26,413","12,448","9,796"
"Portland-Vancouver-Hillsboro, OR-WA",77.41357922064634,5.792158505237042,1.9543789085979562,3.2535680943306944,1.1858478380417683,10.40046743314619,"77,511","957,977",0.636,0.048,"2,472,774","1,007,774","74,660","297,880","365,383","220,054","16,865","84,346","157,394","38,738","138,548","69,290","24,479","80,514","166,363","281,933","112,333","57,702","46,695"
"Port St. Lucie, FL",89.19922553740753,0.3162388919227523,0.4338976319316884,1.532045872015092,1.6919028943057142,6.8266891724172165,"58,039","183,397",0.509,0.051,"481,334","224,365","8,363","73,105","71,826","30,103","2,719","18,801","11,091","4,802","28,444","11,352","3,929","12,850","22,386","44,924","22,442","13,188","7,905"
"Poughkeepsie-Newburgh-Middletown, NY",82.59909756166297,4.991592481141794,0.15906963053886403,3.5227034322090947,1.5080301981794668,7.219506696267813,"81,331","240,523",0.596,0.049,"675,601","265,425","20,819","76,216","89,410","54,078","3,025","21,656","20,646","8,086","39,080","19,221","6,108","18,906","32,296","90,516","26,359","17,246","19,506"
"Prescott Valley-Prescott, AZ",86.37677545144359,0.20630944149086908,0.3888139474250995,3.5287983041817337,1.5382522643027987,7.9610505911558995,"53,329","101,245",0.45299999999999996,0.057999999999999996,"232,396","118,531","4,115","33,257","39,643","24,230","1,925","8,148","4,695","1,257","12,714","3,365","1,348","4,892","9,252","21,090","10,743","6,035","4,650"
"Providence-Warwick, RI-MA",88.06850241581998,2.3449459601187295,0.25111075404224786,2.9450707681423163,0.9056678038894764,5.484702297987252,"70,676","635,095",0.611,0.055,"1,621,099","705,332","59,517","222,916","235,012","117,650","4,592","54,903","87,181","21,146","97,801","36,056","12,082","52,413","83,473","222,326","77,185","37,077","32,652"
"Provo-Orem, UT",82.25492909146193,2.1595416483032173,0.7434207604347098,3.783041397193723,1.002046456964616,10.057020645641797,"76,864","175,377",0.67,0.037000000000000005,"633,129","183,901","4,500","34,655","74,381","61,841","2,466","21,036","26,647","7,390","35,692","9,006","8,844","17,534","48,264","74,933","23,324","13,429","8,859"
"Pueblo, CO",92.70865112224885,0.7583351492699935,0.26294762838672187,1.6154572528510207,0.7714098932229243,3.8831989540204837,"49,979","65,206",0.522,0.069,"167,412","71,284","4,763","21,096","22,887","16,460",882,"5,143","5,012","1,476","9,441","3,349","1,039","2,532","6,553","19,778","6,741","3,204","4,717"
"Punta Gorda, FL",85.98404045192383,0.24808406415422296,0.8485423086039346,0.818519396381449,1.8076953464486054,10.293118432487951,"52,724","79,789",0.389,0.057999999999999996,"185,926","105,857","3,932","32,881","31,299","11,677",320,"6,529","2,772","1,824","9,844","2,990","1,483","4,008","6,526","13,808","7,858","3,483","3,160"
"Racine, WI",91.19965724078834,1.0475578406169666,0.14460154241645243,0.8943873179091687,1.7930591259640103,4.920736932305056,"62,556","77,648",0.611,0.04,"195,859","82,977","4,860","26,024","30,566","16,198",830,"6,373","19,644","2,673","11,460","5,253",814,"4,188","7,928","20,600","8,368","4,027","3,107"
"Raleigh-Cary, NC",84.66817745937415,0.8540135627330154,0.1606829815078399,1.1295110564511852,1.0802024519563618,12.107412487977443,"78,706","507,613",0.66,0.043,"1,362,997","548,432","19,624","150,490","216,630","120,869","3,729","46,181","63,211","17,442","70,455","28,517","19,508","55,961","132,716","145,714","59,665","31,794","33,485"
"Rapid City, SD",88.89736633887193,0.7149316152368034,0.546795523906409,2.6350740363965186,0.7841641234316717,6.421668362156662,"59,076","55,089",0.627,0.037000000000000005,"140,653","61,442","2,912","15,849","20,168","16,160","2,215","6,388","4,048","1,665","8,644","3,465","1,017","5,040","5,761","16,359","7,914","3,378","4,151"
"Reading, PA",87.24302887594497,1.449002354690792,0.19828975089850043,3.1200892303879044,1.8649151072003964,6.124674680877432,"66,154","156,389",0.613,0.055999999999999994,"419,062","167,514","13,331","46,326","57,998","38,734","3,890","11,156","37,919","5,415","24,656","11,943","2,991","11,270","18,440","47,662","16,191","9,470","5,340"
"Redding, CA",89.55490353475241,0.5674426329338168,0.68231516594237,2.0926177097461736,0.8760760649929416,6.226644891632297,"57,139","70,845",0.511,0.059000000000000004,"179,267","78,488","4,496","20,924","26,853","18,572","1,558","5,567","4,039","1,346","9,535","3,722",959,"3,907","7,096","19,118","7,571","4,370","5,203"
"Reno, NV",86.90714505697566,2.08226397016049,0.5449474728809499,2.228980597474592,1.529189337165931,6.707473565342367,"68,214","187,820",0.627,0.052000000000000005,"468,268","203,370","12,177","57,404","69,626","48,613","1,966","18,707","19,840","7,566","27,085","14,659","3,491","13,371","27,697","45,770","35,742","10,278","11,225"
"Richmond, VA",86.93643219756038,1.5424288546714848,0.4643938757279499,1.587872223207866,1.1142962969879762,8.354576551844348,"71,223","488,001",0.627,0.049,"1,282,067","526,129","32,698","145,923","176,059","133,321","3,349","44,657","44,301","15,798","71,868","36,372","10,261","61,638","78,883","151,798","56,079","31,123","43,832"
"Riverside-San Bernardino-Ontario, CA",89.62304660147787,1.1595278892174872,0.22108311159805918,1.3985797958662503,1.3355088103730919,6.262253791467243,"68,331","1,376,503",0.556,0.073,"4,600,396","1,566,442","59,845","367,495","505,921","443,242","19,830","165,042","163,968","60,810","251,695","169,839","27,150","94,554","191,777","422,416","204,192","101,223","104,878"
"Roanoke, VA",88.33358422399519,1.1515881378895076,0.17106181489743133,2.145115158813789,1.0475825544318695,7.151068109972219,"57,642","127,924",0.578,0.047,"313,289","146,679","9,126","40,086","45,055","33,657","1,379","8,650","16,353","4,594","16,919","9,221","2,147","10,275","13,943","37,890","13,145","7,051","6,720"
"Rochester, MN",83.75022712131306,3.6547063862187112,0.5502824956522492,3.4911790408126184,0.8435934485234952,7.710011507479862,"76,787","89,070",0.684,0.033,"219,848","95,255","5,123","25,675","36,159","22,113","3,276","6,955","10,730","2,224","10,826","3,689","1,588","4,292","7,774","50,020","8,279","4,668","3,312"
"Rochester, NY",87.05954966639061,1.8719627482538244,0.46388893229370126,2.961271622107286,0.902972014313171,6.740355016641406,"61,747","438,233",0.597,0.049,"1,071,784","482,206","44,309","153,620","169,728","70,576","6,878","26,130","62,801","10,990","58,185","18,816","10,747","27,655","58,947","158,733","42,948","22,727","18,271"
"Rockford, IL",91.90293377603695,0.8715727218489794,0.27496044201188036,1.195818526108272,0.8942699281471298,4.8604446058468005,"56,899","134,567",0.59,0.077,"336,928","145,782","10,617","43,281","52,394","28,275","1,214","9,775","35,934","3,929","17,718","8,938","1,973","6,115","13,056","33,902","12,590","7,832","4,329"
"Rocky Mount, NC",92.34916060934742,0.7042139515306536,0.06475530588787619,1.2789172912855549,1.7904842077997765,3.812468634148711,"46,482","58,171",0.536,0.078,"146,356","68,205","4,743","18,141","19,278","16,009","1,490","4,120","10,760","1,652","7,800","3,743",646,"3,387","4,603","13,462","5,895","3,024","2,768"
"Rome, GA",90.98996736371329,0.40130545146863295,0.17647769853741085,3.295056206938233,1.0129336395503445,4.124259639792094,"50,657","36,192",0.547,0.055999999999999994,"97,805","40,713","3,108","11,199","12,388","9,497",182,"3,531","7,675","1,057","4,266","1,896",624,"1,447","3,425","10,755","3,905","1,989","1,651"
"Sacramento-Roseville-Folsom, CA",83.76792729526362,2.1128000911729,1.2740659251647564,1.6686147653004233,1.2468459168574735,9.929746006240823,"75,533","840,925",0.5820000000000001,0.057999999999999996,"2,338,866","909,133","49,055","252,548","326,850","212,472","11,943","73,582","61,968","24,174","116,971","59,825","18,015","75,599","131,886","248,521","105,588","52,162","104,059"
"Saginaw, MI",92.10178330882262,0.42389114771926795,0.3806369489724038,1.8389213638666781,0.7588022294449868,4.495965001174042,"49,565","78,980",0.531,0.065,"191,166","87,789","6,972","26,842","29,024","16,142",826,"4,163","13,796","1,503","10,194","2,944","1,291","4,617","6,881","21,238","8,405","3,543","2,954"
"St. Cloud, MN",87.31974757521822,1.4144163866706008,0.26936731993794083,4.116656037920826,0.8280903475123976,6.051722332740027,"64,118","76,058",0.679,0.046,"200,264","82,381","3,978","22,360","30,225","19,495","3,300","7,710","14,909","2,525","13,120","5,793","1,085","6,032","6,815","30,059","8,060","4,800","3,080"
"St. George, UT",86.79688378895264,0.3192147598155023,0.4204634942063224,1.4512318596017548,1.4188885138935765,9.593317583530206,"61,747","59,699",0.545,0.034,"172,127","71,482","2,050","16,492","24,304","16,853",841,"7,167","4,552","1,465","10,141","4,022","1,139","4,031","7,373","17,359","8,451","3,023","2,624"
"St. Joseph, MO-KS",92.49441016009301,0.502638404436097,0.06260620695823271,1.7154100706555764,1.1787854395850104,4.046149718272068,"53,298","47,244",0.562,0.044000000000000004,"124,946","54,088","3,831","15,204","16,803","11,406","1,272","3,780","9,849","1,104","6,095","3,684",683,"2,903","3,591","13,869","4,758","2,564","2,661"
"St. Louis, MO-IL",88.27308964439933,1.9353679083069737,0.20818324745654065,1.5953015841850031,0.8908423914220417,7.097215224230105,"65,725","1,137,735",0.623,0.046,"2,806,349","1,262,226","79,384","380,422","436,590","241,339","11,657","86,531","153,239","39,375","152,150","74,406","27,359","115,141","158,460","340,276","127,153","66,121","52,751"
"Salem, OR",86.7468376796832,1.4426624814210431,0.7686231304112836,2.6836848177443327,1.0851150076394591,7.273076883100685,"62,539","151,200",0.5820000000000001,0.054000000000000006,"428,472","160,077","8,548","45,138","58,800","38,714","9,859","16,827","18,933","4,307","23,852","7,285","2,093","10,177","16,628","44,371","16,836","8,272","16,465"
"Salinas, CA",82.37755987276216,1.2818423197244933,0.4994873682273456,2.5510660111990324,7.286732038171351,6.003312389915613,"76,943","128,003",0.569,0.051,"432,977","141,910","5,449","35,790","47,734","39,030","29,975","12,524","10,219","4,587","18,535","7,143","2,593","7,073","18,766","38,246","21,063","8,087","9,923"
"Salisbury, MD-DE",89.44539484575907,0.7405772308371502,0.3289001710722366,1.648915622758126,1.1191435351249932,6.71706859444843,"62,799","163,535",0.54,0.06,"411,137","251,536","8,455","52,113","63,677","39,290","4,058","15,632","14,639","3,366","22,793","7,490","2,586","9,706","16,193","46,768","20,939","9,097","10,836"
"Salt Lake City, UT",83.95784449551937,3.2716963906751766,0.6067061207165795,2.0127972067173325,0.9094185199125496,9.241537266458986,"77,102","404,471",0.6890000000000001,0.038,"1,215,955","427,135","21,300","109,265","160,573","113,333","5,533","44,853","61,279","17,154","70,305","38,130","13,071","56,789","84,482","135,977","53,529","28,037","24,079"
"San Angelo, TX",88.29407566024268,0.2549199551340879,0.2532204887665273,4.06002515210224,1.7895380850412972,5.3482206587131635,"57,431","43,994",0.598,0.04,"121,472","50,244","2,390","15,118","16,664","9,822","3,602","4,811","3,013","1,033","7,372","2,409",943,"3,011","4,879","14,406","5,040","2,919","3,703"
"San Antonio-New Braunfels, TX",88.16787772401688,1.7342490697217268,0.1757096497187611,1.7543375625502213,1.434559794735263,6.733266199257157,"61,437","826,094",0.597,0.055,"2,510,211","903,779","50,092","270,445","321,467","184,090","17,651","97,918","68,673","27,650","137,887","58,117","18,191","97,966","134,187","264,638","127,635","57,079","55,386"
"San Diego-Chula Vista-Carlsbad, CA",82.52091610547791,2.6371320314777034,0.5948856402153738,2.9462025801899094,1.6637776311954469,9.63708601144365,"82,426","1,130,703",0.5920000000000001,0.062,"3,323,970","1,215,528","61,132","335,811","452,331","281,429","11,728","97,337","150,974","33,729","165,259","67,980","32,536","99,108","250,795","336,313","179,991","82,593","80,932"
"San Francisco-Oakland-Berkeley, CA",64.64920264003302,16.0066863198365,1.7404860601199452,4.567143260221421,2.065424793972433,10.97105692581668,"110,837","1,701,865",0.643,0.048,"4,709,220","1,810,522","204,526","554,552","573,757","369,030","10,360","134,035","186,198","53,746","228,584","126,437","101,836","186,653","513,876","522,999","225,436","118,738","88,028"
"San Germán, PR",91.70226497433849,0.457912044008728,0.0,2.6153231506807217,0.38722763453087067,4.8372721964411936,"16,682","42,757",0.315,0.141,"123,319","67,957","6,264","19,027","12,680","4,786",829,"1,506","4,243",918,"5,244",971,432,980,"2,264","7,876","3,543","1,294","2,770"
"San Jose-Sunnyvale-Santa Clara, CA",81.47034736232347,3.9231568224037714,1.5133931246629246,2.08497293410303,1.3933443860735473,9.614785370433253,"129,343","653,703",0.647,0.043,"1,985,926","688,111","34,479","178,162","261,298","179,764","7,017","53,677","165,695","20,104","86,037","30,938","52,380","46,880","223,229","198,591","82,748","39,866","25,717"
"San Juan-Bayamón-Caguas, PR",90.10253145102861,1.9736389517055641,0.17008072247714814,2.684992059484342,1.9445115302142109,3.124245285090127,"23,709","767,809",0.405,0.15,"2,061,555","975,065","118,068","313,045","230,298","106,398","4,667","39,376","53,858","22,743","92,139","27,916","13,220","43,942","78,601","157,776","70,656","38,797","57,171"
"San Luis Obispo-Paso Robles, CA",82.77012483857081,0.9793370641411968,1.5889244203923496,4.709119980321014,0.9239899145194023,9.028503782055223,"77,948","106,244",0.552,0.045,"282,517","122,256","3,968","29,169","40,532","32,575","3,987","11,045","9,786","2,886","14,755","6,125","2,560","6,601","13,935","29,103","16,637","6,753","7,253"
"Santa Cruz-Watsonville, CA",76.7068152238514,2.2351286082920185,2.666957561896737,4.931426464945871,2.5781843623752096,10.88148777863876,"89,986","96,275",0.604,0.061,"273,170","105,819","4,982","26,500","35,598","29,195","6,645","9,108","11,785","3,415","14,552","5,182","3,221","6,077","17,008","34,376","15,047","5,896","4,795"
"Santa Fe, NM",85.98050249199784,0.9164121077478478,0.4516289334833891,1.7948230754614947,0.751253306829974,10.105380084479458,"60,668","63,152",0.545,0.049,"150,319","73,496","2,451","21,891","23,390","15,420",718,"4,773","1,721",653,"8,321","1,917",958,"3,117","10,348","15,487","9,818","4,460","6,775"
"Santa Maria-Santa Barbara, CA",81.20492903720752,2.9444764096662834,3.1238013041810513,3.9048714998082086,0.8223053317990028,7.999616417337936,"78,925","148,309",0.595,0.057,"444,895","159,317","8,647","45,270","54,891","39,501","18,359","12,624","15,180","4,007","20,295","6,682","3,629","9,862","26,892","49,463","25,370","11,025","9,012"
"Santa Rosa-Petaluma, CA",84.65619557504999,1.5827581758369347,0.7147810101270722,2.5023382571115267,1.4682642069276914,9.075662774946784,"86,173","188,958",0.618,0.046,"496,801","206,498","9,120","53,719","72,893","53,226","6,113","20,462","25,298","6,547","29,830","9,846","5,090","13,242","30,691","54,004","26,516","15,111","11,169"
"Savannah, GA",88.24248824141071,1.7170503585494237,0.6147331217775001,2.261743773200653,1.7084300869031135,5.455554418158602,"60,851","145,199",0.596,0.071,"390,211","164,474","9,529","47,770","58,458","29,442",762,"11,811","19,020","3,993","21,044","15,206","2,750","10,295","17,939","41,683","22,795","7,425","9,906"
"Scranton--Wilkes-Barre, PA",89.69778619848893,0.87899800439499,0.1747125008735625,2.9173105145865526,0.8405612542028063,5.490631527453157,"53,853","228,663",0.574,0.053,"554,787","264,290","23,069","84,372","80,800","40,422","2,123","15,177","32,380","8,253","32,612","18,906","4,176","15,524","21,103","66,047","21,912","11,574","12,655"
"Seattle-Tacoma-Bellevue, WA",74.66279434219452,9.107189191760993,0.9695689643755631,3.955235118143992,1.2189385508016957,10.086273832723235,"90,790","1,529,875",0.65,0.044000000000000004,"3,928,498","1,617,780","126,122","478,727","566,638","358,388","11,235","134,486","204,705","54,599","247,007","110,628","57,293","116,550","349,166","421,062","187,115","91,975","77,968"
"Sebastian-Vero Beach, FL",88.01266101321959,0.4451666412769343,0.6313580121532185,0.6465918515885509,1.6164796289713772,8.647742852790332,"57,945","60,959",0.446,0.063,"156,964","81,185","2,877","25,614","24,054","8,414",979,"5,151","2,736","1,446","9,265","2,107",692,"3,917","8,370","12,995","7,667","2,973","1,830"
"Sebring-Avon Park, FL",89.70199364173872,0.7338740826573967,0.6655376296164245,2.0144397896425708,1.6311614225866835,5.252993433758208,"43,708","42,721",0.387,0.084,"104,574","55,919","2,166","20,588","15,424","4,543","1,419","3,356","1,129",620,"5,595","1,550",255,"1,447","3,003","8,429","3,496","2,156","1,884"
"Sheboygan, WI",90.863402500937,0.3901325428464343,0.713823298919895,1.9966608743057686,0.7938941701591197,5.242086612831783,"62,101","47,754",0.6409999999999999,0.033,"115,152","51,249","2,576","15,660","19,312","10,206","1,080","2,961","19,561","1,170","6,085","2,102",621,"2,977","3,377","11,112","4,844","2,284","1,274"
"Sherman-Denison, TX",90.41844328075096,0.3129002448079636,0.1994131093853861,1.384543052155445,1.0781277865144858,6.60657252638576,"58,296","49,327",0.595,0.044000000000000004,"133,527","56,749","2,035","16,141","18,417","12,734","1,042","5,653","7,502","1,534","8,686","3,291",863,"4,612","4,735","12,906","5,572","3,542","2,580"
"Shreveport-Bossier City, LA",92.63339355082474,1.2273741631539798,0.1658932851593402,1.2250126929026013,1.2161571794599317,3.5321691284994037,"46,610","156,594",0.531,0.065,"397,590","184,148","13,284","60,073","55,259","27,978","5,396","11,054","11,154","3,497","20,347","9,509","2,242","8,439","15,157","42,710","17,491","10,033","8,930"
"Sierra Vista-Douglas, AZ",87.71280532938565,0.4991011948820979,0.35740721158929895,3.0432483874378766,2.396108702548377,5.991329174156709,"51,505","50,917",0.434,0.068,"126,442","61,380","3,078","16,500","18,087","13,252","1,280","2,562","1,713",426,"5,041","2,479",603,"1,845","5,677","9,383","3,916","1,882","7,412"
"Sioux City, IA-NE-SD",91.96789364078943,0.8619619633424817,0.09791887903570591,2.1266325559585706,0.46752816891696203,4.478064791956861,"61,399","56,113",0.6679999999999999,0.042,"144,152","60,300","3,319","16,252","20,946","15,596","2,298","5,585","14,401","2,237","8,369","3,654",853,"4,073","4,742","15,630","6,053","3,386","2,205"
